,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
0,Chingy (It’s Whatever),Digga D,1.0,6afrGc4NBIQEObX1S8DCPy,Chingy (It’s Whatever),spotify:track:6afrGc4NBIQEObX1S8DCPy,2020-10-15,0.324,0.73,147301.0,0.622,1.0,0.0,8.0,0.384,-8.188,0.0,73.0,0.338,141.983,4.0,0.705,1.0
1,Lonely (with benny blanco),Justin Bieber,1.0,4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),spotify:track:4y4spB9m0Q6026KfkAvy9Q,2020-10-16,0.864,0.631,149297.0,0.239,1.0,0.0,11.0,0.116,-7.071,0.0,95.0,0.0398,79.859,4.0,0.0927,1.0
2,Hold,Chunkz,1.0,7vNuWM68PF5O5rBWtWXvnl,Hold,spotify:track:7vNuWM68PF5O5rBWtWXvnl,2020-10-16,0.157,0.766,188657.0,0.646,0.0,9.33e-06,1.0,0.0935,-8.37,0.0,67.0,0.0441,98.019,4.0,0.56,1.0
4,Confetti,Little Mix,5.0,4efdhHdTAS3sYJnI0mjHDc,Happiness,spotify:track:4efdhHdTAS3sYJnI0mjHDc,2020-11-06,0.0484,0.642,197640.0,0.77,0.0,2.7e-06,11.0,0.0934,-6.289,0.0,71.0,0.0377,125.932,4.0,0.491,1.0
5,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu,1.0,3wJ1OyP3Fugmi8t41e1zQ6,You're Mines Still,spotify:track:3wJ1OyP3Fugmi8t41e1zQ6,2020-10-16,0.308,0.613,226220.0,0.615,1.0,0.0,5.0,0.107,-4.859,0.0,60.0,0.107,86.782,4.0,0.342,1.0
6,Empires On Fire,BANNERS,1.0,14BH4qO7pgCmIe6mgLKOK3,Someone To You,spotify:track:14BH4qO7pgCmIe6mgLKOK3,2017-11-03,0.00568,0.468,219800.0,0.936,0.0,0.0,2.0,0.24,-3.683,1.0,80.0,0.0455,75.05,4.0,0.663,1.0
7,The Blue Print – Us Vs. Them,D-Block Europe,9.0,3WocNIkwRc3GfN4Gqy2wMN,Perkosex,spotify:track:3WocNIkwRc3GfN4Gqy2wMN,2020-10-09,0.29,0.621,148181.0,0.439,1.0,0.0,4.0,0.0949,-11.693,0.0,60.0,0.201,129.826,4.0,0.101,1.0
8,One More Time (feat. AJ Tracey),Not3s,1.0,5BPENl0nmNPHBVuctB78Ho,One More Time (feat. AJ Tracey),spotify:track:5BPENl0nmNPHBVuctB78Ho,2020-10-15,0.0808,0.599,164733.0,0.757,1.0,0.0,11.0,0.109,-4.703,0.0,63.0,0.289,141.594,4.0,0.764,1.0
9,PMW,M Huncho,1.0,17OTO2RMaTZr6exF7ejaUH,PMW,spotify:track:17OTO2RMaTZr6exF7ejaUH,2020-10-15,0.344,0.683,211076.0,0.591,1.0,0.0,11.0,0.0887,-8.436,0.0,57.0,0.431,144.974,4.0,0.593,1.0
11,Back from the Edge,James Arthur,6.0,55Am8neGJkdj2ADaM3aw5H,Train Wreck,spotify:track:55Am8neGJkdj2ADaM3aw5H,2016-10-28,0.701,0.311,208826.0,0.485,0.0,0.0,6.0,0.0726,-5.726,0.0,89.0,0.0365,77.355,4.0,0.225,1.0
12,Curvy,The Plug,1.0,6CZ14pbeYftqXBNHrwXWzb,Curvy,spotify:track:6CZ14pbeYftqXBNHrwXWzb,2020-10-16,0.00168,0.903,201233.0,0.536,1.0,0.0,6.0,0.114,-8.688,1.0,65.0,0.249,135.019,4.0,0.893,1.0
13,Let Me Love You Like A Woman,Lana Del Rey,1.0,4HvE2E9rXJDcQhE4YfeNuG,Let Me Love You Like A Woman,spotify:track:4HvE2E9rXJDcQhE4YfeNuG,2020-10-16,0.969,0.403,200661.0,0.245,0.0,4.74e-05,0.0,0.119,-11.862,1.0,74.0,0.0569,128.333,4.0,0.148,1.0
14,I Don’t Wanna Know,Punctual,1.0,3gF8IZu75GhdYD4w7AFZi0,I Don't Wanna Know,spotify:track:3gF8IZu75GhdYD4w7AFZi0,2020-07-31,0.00128,0.678,165093.0,0.827,0.0,0.0527,8.0,0.34,-6.336,0.0,68.0,0.0529,119.988,4.0,0.753,1.0
15,EDNA,Headie One,8.0,63Sb1AMnhb37DR59uXZdQd,Princess Cuts (feat. Young T & Bugsey),spotify:track:63Sb1AMnhb37DR59uXZdQd,2020-10-09,0.196,0.576,185080.0,0.597,1.0,0.0,1.0,0.049,-6.659,0.0,74.0,0.318,101.174,4.0,0.885,1.0
16,EDNA,Headie One,16.0,0ZyAAuNPp8750uzkTMbt1u,Parlez-Vous Anglais (feat. Aitch),spotify:track:0ZyAAuNPp8750uzkTMbt1u,2020-10-09,0.32,0.875,200293.0,0.616,1.0,0.0,9.0,0.0736,-8.206,1.0,65.0,0.324,143.864,4.0,0.839,1.0
17,Cool With Me (feat. M1llionz),dutchavelli,1.0,0w0BkzzY2JgYohvF9PYnCq,Cool With Me (feat. M1llionz),spotify:track:0w0BkzzY2JgYohvF9PYnCq,2020-10-09,0.158,0.615,170138.0,0.764,1.0,0.0,0.0,0.172,-5.504,1.0,67.0,0.401,142.403,4.0,0.784,1.0
18,The Blue Print – Us Vs. Them,D-Block Europe,1.0,4E6I6FVe0ZMcwf8UUSNWMe,Destiny,spotify:track:4E6I6FVe0ZMcwf8UUSNWMe,2020-10-09,0.427,0.857,206829.0,0.501,1.0,0.0,8.0,0.0777,-8.633,0.0,62.0,0.323,123.012,4.0,0.499,1.0
19,Flowers,Chip,1.0,0SXxFX9wHTTVruKSHgeSBm,Flowers,spotify:track:0SXxFX9wHTTVruKSHgeSBm,2020-10-08,0.239,0.503,225616.0,0.796,1.0,0.0,5.0,0.126,-3.601,0.0,58.0,0.486,65.466,3.0,0.724,1.0
20,Not a Pop Song,Little Mix,1.0,0g4xPTe9fP1gPiXPMQKj7Z,Not a Pop Song,spotify:track:0g4xPTe9fP1gPiXPMQKj7Z,2020-10-09,0.279,0.624,179413.0,0.651,0.0,0.0,0.0,0.0782,-4.715,1.0,72.0,0.0372,139.115,4.0,0.355,1.0
21,i miss u (with Au/Ra),Jax Jones,1.0,7CH8J4ulT49UfZwSDSkSZA,i miss u (with Au/Ra),spotify:track:7CH8J4ulT49UfZwSDSkSZA,2020-10-09,0.0387,0.668,172143.0,0.726,0.0,0.0,9.0,0.134,-7.512,1.0,80.0,0.0468,124.075,4.0,0.453,1.0
22,The Blue Print – Us Vs. Them,D-Block Europe,11.0,5uHcHIm1f6fYKhkL2qBxGR,Proud,spotify:track:5uHcHIm1f6fYKhkL2qBxGR,2020-10-09,0.251,0.58,218666.0,0.615,1.0,0.0,4.0,0.191,-7.584,0.0,62.0,0.103,89.898,4.0,0.0392,1.0
23,BLM (feat. Abra Cadabra),OFB,1.0,1OrQyeJFwnthJwEgNBSXg0,BLM (feat. Abra Cadabra),spotify:track:1OrQyeJFwnthJwEgNBSXg0,2020-10-08,0.499,0.804,232288.0,0.436,1.0,6.79e-05,11.0,0.26,-10.526,0.0,62.0,0.152,141.9,4.0,0.795,1.0
24,Immunity,Clairo,7.0,7B3z0ySL9Rr0XvZEAjWZzM,Sofia,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,2019-08-02,0.598,0.744,188386.0,0.619,0.0,0.00372,0.0,0.231,-9.805,1.0,90.0,0.039,112.997,4.0,0.641,1.0
25,"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,1.0,2fTdRdN73RgIgcUZN33dvt,"Baby, I'm Jealous (feat. Doja Cat)",spotify:track:2fTdRdN73RgIgcUZN33dvt,2020-10-09,0.0398,0.737,175873.0,0.867,0.0,0.0,11.0,0.32,-2.259,0.0,81.0,0.0458,98.05,4.0,0.506,1.0
26,Don't Start Now,Dua Lipa,1.0,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,0.0125,0.794,183290.0,0.793,0.0,0.0,11.0,0.0952,-4.521,0.0,86.0,0.0842,123.941,4.0,0.677,1.0
28,weird!,YUNGBLUD,2.0,4K5wju7Hht1PuqfFlES2l5,cotton candy,spotify:track:4K5wju7Hht1PuqfFlES2l5,2020-12-04,0.0104,0.633,167365.0,0.93,0.0,0.0,9.0,0.0866,-3.262,1.0,66.0,0.0748,124.041,4.0,0.701,1.0
29,Papi Chulo,Octavian,1.0,6Juv5N0dNU1imms9c9u1dA,Papi Chulo,spotify:track:6Juv5N0dNU1imms9c9u1dA,2020-03-13,0.185,0.866,161667.0,0.563,1.0,0.0,11.0,0.0889,-6.964,0.0,85.0,0.108,127.954,4.0,0.307,1.0
30,UFO,D-Block Europe,1.0,2DOv2fSLzEC4StSkZAWG9T,UFO,spotify:track:2DOv2fSLzEC4StSkZAWG9T,2020-10-02,0.102,0.866,204000.0,0.591,1.0,0.0,11.0,0.204,-6.324,0.0,70.0,0.159,100.079,4.0,0.59,1.0
31,Wonder,Shawn Mendes,1.0,5KCbr5ndeby4y4ggthdiAb,Wonder,spotify:track:5KCbr5ndeby4y4ggthdiAb,2020-10-02,0.131,0.333,172692.0,0.637,0.0,1.8e-05,1.0,0.149,-4.904,0.0,92.0,0.0581,139.898,4.0,0.132,1.0
