,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
0,Fetch The Bolt Cutters,Fiona Apple,1,73SBAGI4fPFm4VkB3NjXq8,I Want You To Love Me,spotify:track:73SBAGI4fPFm4VkB3NjXq8,2020-04-17,0.559,0.528,237713,0.504,0,0.0414,9,0.0936,-8.821,0,61,0.09,141.369,3,0.712,0
1,Fetch The Bolt Cutters,Fiona Apple,6,17QLp5uadHptxnmq9clK8U,Rack of His,spotify:track:17QLp5uadHptxnmq9clK8U,2020-04-17,0.831,0.44,222307,0.619,0,0.00113,7,0.101,-9.846,1,52,0.112,94.968,4,0.552,0
2,Fetch The Bolt Cutters,Fiona Apple,4,12WhIX6MvI93bS3wPSStSY,Under The Table,spotify:track:12WhIX6MvI93bS3wPSStSY,2020-04-17,0.295,0.64,201352,0.494,0,4.8e-06,0,0.248,-8.14,1,61,0.0602,119.854,4,0.547,0
3,Fetch The Bolt Cutters,Fiona Apple,9,2OQpQTRogZ1AhnUHJiT9Nb,Heavy Balloon,spotify:track:2OQpQTRogZ1AhnUHJiT9Nb,2020-04-17,0.126,0.635,206262,0.67,0,3.68e-05,11,0.166,-6.533,0,52,0.0723,83.901,4,0.17,0
4,Fetch The Bolt Cutters,Fiona Apple,3,4SdubskbLiOkpsIjRVVsya,Fetch The Bolt Cutters,spotify:track:4SdubskbLiOkpsIjRVVsya,2020-04-17,0.526,0.485,298457,0.488,0,2.02e-05,0,0.0686,-11.34,1,56,0.171,150.856,4,0.339,0
5,Fetch The Bolt Cutters,Fiona Apple,13,6VU4Ys4rbbbwJ84g1ZuYA5,On I Go,spotify:track:6VU4Ys4rbbbwJ84g1ZuYA5,2020-04-17,0.241,0.516,189082,0.609,0,5.3e-06,1,0.36,-10.649,1,48,0.142,95.013,3,0.617,0
6,Fetch The Bolt Cutters,Fiona Apple,8,0jH0IsCBGackT3RmHBbSUI,Ladies,spotify:track:0jH0IsCBGackT3RmHBbSUI,2020-04-17,0.645,0.562,325373,0.307,0,0.000551,6,0.107,-9.629,0,54,0.103,133.836,3,0.28,0
7,Fetch The Bolt Cutters,Fiona Apple,11,5BBWr1LUsCH1tECJLAUGnP,For Her,spotify:track:5BBWr1LUsCH1tECJLAUGnP,2020-04-17,0.806,0.431,163720,0.522,0,0.0,8,0.373,-9.022,1,51,0.39,174.085,4,0.447,0
8,Fetch The Bolt Cutters,Fiona Apple,2,2pDKE8Q40TDGPl1O11DKKn,Shameika,spotify:track:2pDKE8Q40TDGPl1O11DKKn,2020-04-17,0.154,0.375,248603,0.776,0,8.16e-05,8,0.0925,-6.767,1,57,0.274,186.814,4,0.647,0
9,Fetch The Bolt Cutters,Fiona Apple,10,7eGoc6UmwiRAVnilTZajNC,Cosmonauts,spotify:track:7eGoc6UmwiRAVnilTZajNC,2020-04-17,0.702,0.547,239310,0.472,0,0.0,0,0.168,-9.218,1,54,0.256,113.705,4,0.537,0
10,Fetch The Bolt Cutters,Fiona Apple,5,5hnOzmFuGltDDAm008jFDh,Relay,spotify:track:5hnOzmFuGltDDAm008jFDh,2020-04-17,0.231,0.502,289229,0.574,1,0.0,11,0.212,-8.456,0,53,0.385,92.101,4,0.474,0
